shipment_id,customer_id,driver_id,origin_city,origin_state,destination_city,destination_state,created_at,pickup_datetime,delivered_datetime,status,distance_km,weight_kg,volume_m3,base_cost_mxn,fuel_surcharge_mxn,total_cost_mxn,on_time_flag,damage_flag,tracking_events_count,notes
S0000036,C00565,D00053,Cancún,ROO,Mérida,YUC,2025-05-18 17:24:07,,2025-05-19 11:37:07,Delivered, 10.00 ,315,$ 0.28,596.18,70.41,666.60,Si,Y,13,
S0000037,C00618,D00026,Chihuahua,CHH,Hermosillo,SON,2024-02-02 04:20:43,2024-02-02 12:12:43,2024-02-03 03:38:45.678479,entregado,"833,01","1,602.16",,"MXN 16.845,83",1371,"18,217.29",Si,N,7,Se reprogramó entrega.
S0000038,C00362,D00168,San Luis Potosí,SLP,Mérida,YUC,2025/08/20 16:17,2025-08-22 12:13:19,2025-08-22 18:28:44.120625,DELIVERED ,390.84,$ 5.00,3,"11.303,28","1,543.09"," 12,846.37 ",TRUE,0,8,
S0000039,C00153,D00200,Puebla,PUE,Veracruz,VER,2024-08-17 13:38:40,2024-08-18 14:06:40,2024/08/18 17:22,Delivered,"350,86",803.50 kg,4.44 m3,"7,177.33",981.62,"8,158.95",Si,N,9,Cliente pidió entrega en recepción.
S0000040,C00209,D00218,CDMX,CDMX,Chihuahua,CHH,2026-01-06 05:15:17,06/01/2026 14:13,2026/01/07 00:49,DELIVERED,$ 415.42,,0.10,"$ 11,762.01",$ 836.84,"12,598.85",N,,8,
S0000041,C00154,D00196,León,GTO,Villahermosa,TAB,2024-08-05 15:46:07,2024-08-07 15:19:07,,delivered,"361,05",770.02, 4.75 ,"8.474,70",979.84,"9.454,54",N,1,7,Documentación pendiente.
S0000042,C00620,D00216,Monterrey,NL,Tampico,TAM,2026-01-11 15:22:06,2026-01-12 12:03:06,,delivered,381.82, 5.00 ,4.19,"10,610.31",$ 801.91," 11,412.22 ",1,TRUE,,Carga frágil.
S0000043,C00408,D00129,Tijuana,BCN,Veracruz,VER,2025-08-29 20:09:48,2025-08-31 18:31:48,2025-09-01 07:51:13,Delivered,758,970.98, 2.33 ,"17,463.85",1189,"MXN 18.652,80",FALSE,Si,3,
S0000044,C00700,D00100,Mérida,YUC,Tijuana,BCN,26/04/2024 12:08,26/04/2024 21:44,2024-04-27 01:51:50,DELIVERED ,"307,58",343.60 kg,"7,26"," 6,790.89 ",$ 704.70,"7,495.58",1,TRUE,5,
S0000045,C00697,D00034,Cancún,ROO,Veracruz,VER,02-05-2025 05:32:54,03/05/2025 04:37,2025-05-03 08:21:31,CANCELED,312.04 km,239.96 kg,1,"9,042.48",991.50,"10,033.98",Si,N,7,Dirección incompleta.
S0000046,C00619,D00125,Tijuana,BCN,Villahermosa,TAB,2024-06-26 14:23:54,2024-06-27 07:52:54,2024/06/27 23:57,Delivered,828.02,,1.77 m3,"20.663,66",1292," 21,955.26 ",TRUE,1,4,
S0000047,C00351,D00247,San Luis Potosí,SLP,León,GTO,2024-11-04 12:32:33,2024-11-05 10:58:33,2024-11-05,DELIVERED,149.37,5.00 kg,1.75," 4,664.80 ",620.46," 5,285.26 ",1,Y,1,
S0000048,C00593,D00025,Guadalajara,JAL,Mérida,YUC,2024/10/18 12:21,2024/10/19 15:05,21-10-2024 17:31:28,Devolución,246.03 km, 746.74 ,"3,17"," 6,153.91 ",847.64,"7.001,55",Y,Si,6,
S0000049,C00697,D00112,San Luis Potosí,SLP,Querétaro,QRO,16/05/2024 02:43,2024-05-16 08:48:01,2024-05-16 11:09:35,DELIVERED ,240.44 km,1377,5,6260,,"7.100,19",TRUE,TRUE,6,
S0000050,C00425,D00173,Mérida,YUC,CDMX,CDMX,2025/10/05 23:47,2025-10-06 01:47:33,2025/10/06 12:03,DELIVERED , 392.31 ,"1,024.16", 4.87 ,"9,829.42",839.41,"10,668.82",0,Si,11,
S0000051,C00267,D00215,Morelia,MICH,León,GTO,15-05-2025 20:06:57,2025-05-16 09:11:57,2025-05-16 21:28:40.070469,DELIVERED ,617,"$ 1,063.42", 3.07 ,"MXN 15,025.09","1,752.02","16,777.11",0,TRUE,2,Temperatura controlada.
S0000052,C00865,D00093,Tijuana,BCN,Hermosillo,SON,2024-06-05 09:18:49,2024-06-06 17:08:49,,DELIVERED , 664.00 ,$ 882.26,1.63 m3,"13.155,53","1,184.27","MXN 14,339.79",N,0,15,Se reprogramó entrega.
S0000053,C00226,D00022,Puebla,PUE,San Luis Potosí,SLP,2025-03-01 03:01:33,2025-03-02 09:13:33,2025-03-02 19:55:26,DELIVERED ,614.95 km,245.51 kg,$ 3.32,"13.613,32","1,356.76","14.970,08",FALSE,0,7,
S0000054,C00524,D00065,Culiacán,SIN,Hermosillo,SON,2025-03-31 21:29:12,2025-04-02 12:21:12,2025/04/03 01:27,delivered,547, 5.00 ,$ 2.23,"MXN 12.349,16","1.540,23","MXN 13,889.39",,Si,8,Dirección incompleta.
S0000055,C00203,D00051,Guadalajara,JAL,Villahermosa,TAB,2026-02-13 15:03:20,13/02/2026 17:20,2026-02-13 23:36:11.757735,DELIVERED,320,661.78 kg,"6,58","7.312,03","775,90",,No,Si,14,
S0000056,C00506,D00218,Querétaro,QRO,Chihuahua,CHH,2024-06-08 14:33:34,08/06/2024 15:47,2024-06-08 16:47:34,entregado,,"875,68","MXN 4,19",909.23,86.24,995.47,Y,Si,9,
S0000057,C00535,D00136,Mérida,YUC,Villahermosa,TAB,31-01-2026 08:23:43,2026/02/01 01:43,01-02-2026 07:58:13,delivered,456,"1,078.87 kg","2,09"," 12,409.59 ",1095,"MXN 13.504,63",FALSE,No,2,Sin incidencias.
S0000058,C00193,D00018,Toluca,MEX,Cancún,ROO,2024-09-12 01:40:57,2024/09/13 20:59,14-09-2024 00:36:13,DELIVERED ,74.32 km,,"5,93","2,000.09","MXN 137,64","2.137,73",TRUE,No,7,Cliente pidió entrega en recepción.
S0000059,C00662,D00064,Querétaro,QRO,Toluca,MEX,2024-06-27 22:30:59,28/06/2024 02:27,2024-06-28 13:29:09,delivered, 588.75 ,MXN 722.47,$ 1.36,"$ 11,589.57","1.270,42","12,859.99",No,1,12,Incidencia: retraso por tráfico.
S0000060,C00175,D00174,CDMX,CDMX,Chihuahua,CHH,2026-01-06 01:40:07,2026-01-07 14:40:07,08/01/2026 00:49,DELIVERED ,"632,79",883.21 kg,5,"17.191,05","2.393,56","19,584.61",No,1,2,Falta firma en POD.
S0000061,C00676,D00037,Veracruz,VER,Villahermosa,TAB,2024/02/18 00:12,2024/02/18 15:48,2024-02-18 18:00:03.522691,entregado,"386,58",,0.10 m3,"10.211,92","$ 1,392.75","11,604.68",FALSE,1,11,
S0000062,C00478,D00175,Puebla,PUE,Morelia,MICH,2025-03-26 03:50:51,2025-03-27 19:25:51,2025/03/27 22:04,delivered,-188.73,411.74,"2,89"," 5,166.65 ",326.93,"$ 5,493.58",No,N,12,
S0000063,C00433,D00103,Querétaro,QRO,San Luis Potosí,SLP,14-04-2025 04:13:14,2025-04-15 18:32:14,16-04-2025 05:51:49,delivered, 529.09 ,850,5.78 m3,"14,120.08","1,714.36","15,834.44",,Si,8,Carga frágil.
S0000064,C00806,D00063,Culiacán,SIN,Villahermosa,TAB,02/08/2025 14:35,2025-08-02 23:14:31,03/08/2025 07:52,DELIVERED ,"MXN 598,31",MXN 641.94,7,"15,794.03","MXN 1.456,77"," 17,250.79 ",Y,TRUE,7,
S0000065,C00825,D00125,Tijuana,BCN,Querétaro,QRO,2024-04-14 07:14:15,2024/04/14 07:23,2024-04-14 12:51:14.776465,DELIVERED,331.18,659,$ 3.76,7196,911.12,"8,106.91",0,No,9,Sin incidencias.
S0000066,C00715,D00205,Querétaro,QRO,Tampico,TAM,2025/10/09 15:01,2025-10-10 18:10:36,2025-10-11 06:35:37.367237,delivered,575.20, 965.95 ,5.90 m3,"10,863.82","1,212.50","12,076.32",FALSE,Y,3,
S0000067,C00311,D00237,Chihuahua,CHH,Monterrey,NL,2026-01-21 11:18:29,2026/01/22 11:48,,Delivered, 310.81 ,592,1,"7,848.60", 633.68 ,"8,482.29",Si,1,2,Incidencia: retraso por tráfico.
S0000068,C00453,D00196,Veracruz,VER,CDMX,CDMX,2024-09-27 09:41:49,2024-09-28 05:47:49,2024-09-28 10:18:11.554067,Delivered, 278.37 ,"295,74",1.83 m3,"6,987.75",,"7,548.16",No,N,8,Dirección incompleta.
S0000069,C00366,D00159,Morelia,MICH,Puebla,PUE,2024-04-14 07:42:28,15-04-2024 12:09:28,2024-04-15 13:09:28,Delivered, 104.31 , 654.93 ,3.51 m3,"2.596,55",,"$ 2,773.30",TRUE,1,6,Dirección incompleta.
S0000070,C00784,D00016,Puebla,PUE,Mérida,YUC,27/05/2025 00:43,2025-05-29 01:25:13,2025/05/29 09:23,DELIVERED,,737.32 kg,$ 5.53,"11.251,85",1224," 12,476.06 ",,,1,
S0000071,C00548,D00156,Chihuahua,CHH,CDMX,CDMX,2026-01-19 00:43:30,2026-01-19,2026-01-19 09:36:21,DELIVERED, 453.37 ,"2,212.87",,,991.74,"11.427,11",N,Y,5,Incidencia: retraso por tráfico.
S0000072,C00673,D00020,Monterrey,NL,San Luis Potosí,SLP,2024-11-15 19:03:10,2024-11-17 02:48:10,2024-11-17 12:13:15,entregado,, 288.59 ,4,"11,353.02","1.536,22","$ 12,889.24",Y,,3,Temperatura controlada.
S0000073,C00117,D00006,Tampico,TAM,Guadalajara,JAL,2025-02-23 21:27:40,2025-02-24 15:04:40,24/02/2025 19:21,entregado,112,"MXN 1.234,78",2,"2,979.02",296.80,3276,1,Si,9,
S0000074,C00295,D00220,Morelia,MICH,Cancún,ROO,2025-10-20 09:42:53,2025/10/21 22:28,22/10/2025 04:53,entregado,461,548,$ 3.76,"$ 10,793.29","1.446,01","12,239.30",No,,7,Documentación pendiente.
S0000075,C00224,D00105,Guadalajara,JAL,Querétaro,QRO,2025-03-05 10:38:29,07/03/2025 02:13,,entregado, 388.66 ,,6,10402,"1,347.37",,0,,10,Falta firma en POD.
S0000076,C00209,D00084,Culiacán,SIN,Veracruz,VER,08/10/2025 04:28,2025-10-08 09:09:24,,entregado,663.37 km,1068,5.20 m3,"$ 16,451.18","2,270.39",18722,,Si,4,
S0000077,C00080,D00246,Mérida,YUC,Morelia,MICH,2025/10/11 11:09,2025-10-12 21:55:23,2025-10-13 14:03:10.128517,DELIVERED ,"746,84","688,63",4.82 m3," 18,655.76 ","MXN 1.895,93","20,551.69",Y,N,1,Prioridad alta.
S0000078,C00682,D00036,Toluca,MEX,Aguascalientes,AGS,14/06/2025 14:43,,,CANCELED,,"1,157.38",,"5,404.04",658.27,"6.062,31",Y,N,2,Dirección incompleta.
S0000079,C00606,D00156,Querétaro,QRO,Guadalajara,JAL,2024/04/24 13:41,2024/04/26 13:39,26/04/2024 20:10,delivered,273,"530,70",4,"6,931.20",576.28,,Si,Si,9,Se reprogramó entrega.
S0000080,C00043,D00209,Tijuana,BCN,Cancún,ROO,2025-03-08 06:08:38,2025-03-09 19:04:38,2025-03-10 08:19:36.751029,DELIVERED,$ 762.63, 667.75 ,4.86 m3,"15,059.52","1,432.36",16492,TRUE,Si,4,Temperatura controlada.
S0000081,C00303,D00236,Querétaro,QRO,Puebla,PUE,2025-11-21 08:37:17,2025/11/22 12:08,2025-11-22 22:42:21.160939,delivered,"383,96",1787,"MXN 5,36","$ 10,046.04",887.04,"10.933,08",N,Y,6,Temperatura controlada.
S0000082,C00290,D00034,Tijuana,BCN,Monterrey,NL,28-11-2024 17:32:51,2024-11-28 17:59:51,2024-11-29 00:12:22.404497,DELIVERED ,"MXN 226,15","1,164.35", 1.37 ," 4,995.21 ",405,"5,400.06",N,0,10,
S0000083,C00677,D00030,Veracruz,VER,Hermosillo,SON,2024-07-17 22:20:35,2024/07/19 05:13,2024/07/19 12:27,DELIVERED,"505,96","1,657.14 kg",$ 1.05,"10,734.62","MXN 1,079.89","11.814,51",1,1,13,Dirección incompleta.
S0000084,C00362,D00197,Morelia,MICH,Monterrey,NL,17/03/2024 10:52,2024/03/18 20:05,2024-03-19 05:31:01.671904,DELIVERED ,,"1.154,11",,"MXN 13.911,91",1090,15002,Si,TRUE,1,Documentación pendiente.
S0000085,C00740,D00181,Hermosillo,SON,CDMX,CDMX,2024-01-23 21:36:48,2024/01/25 21:29,25/01/2024 22:29,entregado,10.00 km," 1,516.79 ",0.52 m3,743.05,,837.06,FALSE,0,1,
S0000086,C00026,D00102,Mérida,YUC,Tampico,TAM,28/07/2025 11:56,29-07-2025 18:32:58,2025/07/30 06:22,DELIVERED ,"584,45","1.177,22",4.88,"14.505,91","$ 1,521.25",,No,FALSE,16,Temperatura controlada.
S0000087,C00726,D00124,Villahermosa,TAB,Culiacán,SIN,2024/05/06 12:05,2024-05-06 18:32:27,06-05-2024 23:18:03,entregado,353.06 km,$ 5.00,$ 5.75,"7,663.68",561.72,"MXN 8,225.39",No,FALSE,11,
S0000088,C00873,D00238,Puebla,PUE,Tijuana,BCN,2026-01-06 03:10:11,2026-01-06 03:30:11,06-01-2026 11:16:18,entregado,"476,16"," 1,021.93 ",2.56 m3,13676,"1.025,87",14702,N,,2,
S0000089,C00287,D00046,Toluca,MEX,Querétaro,QRO,15-07-2024 19:52:14,,,CANCELLED, 287.32 ,,0.47 m3,"8,266.79","$ 1,135.30","9,402.10",Si,Si,9,Documentación pendiente.
S0000090,C00325,D00136,Monterrey,NL,Mérida,YUC,2024-09-15 01:15:53,2024-09-16 18:08:53,2024-09-17 00:07:51.690306,Delivered,"338,60","1,178.14",7,,663.71,"8,955.65",,0,12,
S0000091,C00515,D00236,CDMX,CDMX,San Luis Potosí,SLP,2024/02/22 02:01,2024-02-23 19:18:17,23/02/2024 22:59,Delivered,280,715.92, 3.26 ,"7,451.58",481,"7,932.79",1,TRUE,6,Prioridad alta.
S0000092,C00756,D00005,Aguascalientes,AGS,Veracruz,VER,19/09/2024 20:44,2024-09-21 10:30:17,21/09/2024 15:45,DELIVERED,"176,79",$ 602.05,7.27 m3,4689,532.59," 5,222.07 ",0,0,9,
S0000093,C00021,D00197,León,GTO,CDMX,CDMX,2024-12-03 21:57:05,2024-12-05 14:20:05,2024-12-05 15:25:31,entregado,$ 10.00,"1,506.29 kg",$ 0.76,$ 903.36,"MXN 122,33",1026,N,Si,6,
S0000094,C00816,D00074,Tijuana,BCN,Veracruz,VER,2026/02/21 13:43,23/02/2026 01:36,23-02-2026 05:44:54,entregado, 230.83 ,,5.84 m3,"5.033,13",$ 407.02," 5,440.15 ",No,1,4,
S0000095,C00608,D00148,Hermosillo,SON,Chihuahua,CHH,2026-01-05,2026-01-06 07:18:47,2026-01-06,delivered,370.34, 988.04 ,9,"8,427.86","1.132,02"," 9,559.89 ",TRUE,Y,8,Se reprogramó entrega.
S0000096,C00472,D00001,Puebla,PUE,Mérida,YUC,2024-09-24 07:10:34,2024-09-25 02:29:34,25-09-2024 10:26:17,DELIVERED,"373,40","1.063,09", 4.70 ,"7.466,88","857,03","8.323,91",Si,0,3,
S0000097,C00601,D00007,Mérida,YUC,León,GTO,2024-12-31 07:18:36,2025/01/01 06:41,2025/01/01 13:10,Delivered,"200,86","1,100.39 kg",4.58,5970,"666,52",6636,Si,1,8,Documentación pendiente.
S0000098,C00394,D00176,Cancún,ROO,CDMX,CDMX,25-01-2026 04:35:23,2026/01/26 22:17,2026/01/27 07:33,DELIVERED,648.29,"1.446,90", 4.28 ,"$ 14,008.17",1517,15525,1,1,2,Dirección incompleta.
S0000099,C00052,D00228,Veracruz,VER,Toluca,MEX,2025/10/23 07:20,2025-10-24 05:03:27,2025-10-24 13:46:08,DELIVERED ,$ 303.68,465,6,6491,398.55,"6,889.51",,Y,3,
S0000100,C00832,D00226,Querétaro,QRO,Hermosillo,SON,2024-05-02 08:34:01,2024-05-03 06:33:01,2024-05-03 11:03:38.746569,DELIVERED,"302,90",464.70 kg,3,"6,744.73",794,7539,1,Y,5,Sin incidencias.
S0000101,C00213,D00005,Hermosillo,SON,Puebla,PUE,2025/03/02 20:07,2025/03/03 13:36,2025/03/03 14:36,DELIVERED , 10.00 ,"1,305.27 kg",4.21 m3,463.88,"39,88",503.76,0,FALSE,5,
S0000102,C00543,D00095,San Luis Potosí,SLP,Aguascalientes,AGS,04/05/2025 20:39,2025/05/06 01:22,2025-05-06 02:22:21,Delivered, 19.58 ,$ 921.10,3.84,1092,102,"1,193.64",N,TRUE,1,Incidencia: retraso por tráfico.
S0000103,C00681,D00227,Aguascalientes,AGS,Morelia,MICH,,2025-09-01 20:10:58,01/09/2025 23:59,delivered,MXN 115.37,810, 3.61 ,"3.495,26",453.92,"$ 3,949.18",FALSE,,10,
S0000104,C00399,D00142,Villahermosa,TAB,Tijuana,BCN,2024-09-07 16:39:19,2024-09-08 22:02:19,2024-09-08 23:30:02.080744,entregado, 92.74 , 412.56 ,4.01,2710,,2902,Si,No,7,Sin incidencias.
S0000105,C00267,D00227,Morelia,MICH,Querétaro,QRO,2024/02/06 20:21,2024-02-08 00:51:01,2024-02-08 08:35:15.867830,Delivered, 456.26 ,5,6.48,"12,713.17",$ 803.38," 13,516.55 ",N,FALSE,4,Temperatura controlada.
S0000106,C00717,D00067,Culiacán,SIN,Toluca,MEX,2024-02-25 12:39:24,2024/02/27 12:47,2024/02/27 18:11,Delivered,,"1,246.80","4,71","$ 5,870.25",489,6359,Si,Y,6,
S0000107,C00602,D00219,Villahermosa,TAB,Aguascalientes,AGS,2025-08-04 13:14:55,,2025-08-06 01:48:23.784528,delivered, 704.39 ,743,"2,80",,"MXN 1,504.00","18.143,08",0,1,7,Falta firma en POD.
S0000108,C00263,D00205,León,GTO,Toluca,MEX,20-12-2024 17:07:46,2024-12-22 13:52:46,22/12/2024 23:42,entregado,568,,3.89 m3,"13,662.41","1,027.43","14,689.83",No,1,5,
S0000109,C00115,D00185,Cancún,ROO,Tijuana,BCN,2025-12-09 18:23:53,2025-12-09 18:39:53,2025-12-10 00:00:58,DELIVERED ,428.55 km,"1,333.00",3,"$ 9,050.13", 915.29 ,"9.965,42",Y,0,9,Documentación pendiente.
S0000110,C00313,D00082,Villahermosa,TAB,Tampico,TAM,2024-06-08 21:01:41,2024-06-10 16:20:41,10-06-2024 22:50:59,entregado,"296,68","668,74",4,6676,"612,15","7.287,78",Si,,9,Sin incidencias.
S0000111,C00363,D00166,Puebla,PUE,Tampico,TAM,2025-03-01 23:11:23,02-03-2025 01:03:23,2025-03-02 06:44:15.008883,DELIVERED,377,"985,45", 1.61 ,8399,720.18," 9,119.00 ",1,FALSE,4,Carga frágil.
